chunk_id,doc_id,text
CH_IRB_1,DOC_IRB_1,"Article 180 — Internal Ratings Based (IRB) approach: PD, LGD and EAD calibration shall reflect downturn conditions. Banks shall estimate loss given default (LGD) using long-run averages. The estimation of exposure at default (EAD) includes credit conversion factors for undrawn commitments."
CH_IRB_2,DOC_IRB_2,"Annex — IRB slotting criteria; supervisory mapping functions for specialised lending; references to downturn LGD and conservatism in parameter estimation."
CH_IRB_3,DOC_IRB_3,"Part Three Title II Chapter 3 — Foundation IRB (F-IRB) and Advanced IRB (A-IRB): institutions may use own estimates of PD for all exposures. For A-IRB, banks estimate LGD and conversion factors. Retail exposures require segmentation and pooling."
CH_IRB_4,DOC_IRB_4,"Article 165 — Validation of internal models: ongoing monitoring, back-testing of PD estimates, stress testing of rating systems. Independent model validation unit required under Part Three."
CH_IRB_5,DOC_IRB_5,"Supervisory formula method for dilution risk in purchased receivables; treatment of guarantees and credit derivatives under IRB; maturity adjustment for corporate exposures."
CH_IRB_SEC_1,DOC_IRB_SEC_1,"IRB approach for securitisation exposures: risk weights determined by internal assessment approach (IAA) or supervisory formula method where STS criteria not met. KIRB calculation for senior tranches."
CH_LCR_1,DOC_LCR_1,"Part Six — Liquidity Coverage Ratio (LCR): Credit institutions shall hold high quality liquid assets (HQLA) to withstand 30 calendar days of stress outflows. Level 1, Level 2A and Level 2B asset caps apply; operational deposits outflow rates are prescribed."
CH_LCR_2,DOC_LCR_2,"Template C 73.00: HQLA composition and outflow assumptions; contingent funding obligations and secured funding transactions as per Delegated Act."
CH_LCR_3,DOC_LCR_3,"Article 412 — Liquid assets buffer: Level 1 assets include ECB-eligible government bonds, central bank reserves. Level 2A capped at 40% includes covered bonds rated AA- or higher. Level 2B capped at 15% includes certain corporate bonds and equities."
CH_LCR_4,DOC_LCR_4,"Part Six Chapter 2 — LCR liquidity outflows: retail deposits with stability assumed; wholesale funding outflows at 100% unless operational relationship demonstrated; derivative cash flows on net basis."
CH_LCR_5,DOC_LCR_5,"Article 425 — Additional liquidity monitoring metrics: contractual maturity mismatch, concentration of funding, available unencumbered assets, LCR by significant currency where applicable."
CH_LCR_SEC_1,DOC_LCR_SEC_1,"HQLA eligibility for securitisation positions: STS-compliant residential mortgage-backed securities (RMBS) qualify as Level 2B assets subject to 25% haircut and concentration limit."
CH_AML_1,DOC_AML_1,"Chapter — AML and KYC: Institutions shall undertake customer due diligence (CDD), ongoing monitoring, and sanctions screening. Politically exposed persons require enhanced due diligence under AMLD."
CH_AML_2,DOC_AML_2,"Fourth and Fifth Anti-Money Laundering Directives (AMLD4, AMLD5): beneficial ownership registers, enhanced transparency for trusts, PEP definitions extended to domestic politically exposed persons."
CH_AML_3,DOC_AML_3,"Risk-based approach to customer due diligence: simplified CDD for low-risk customers; enhanced due diligence (EDD) for high-risk jurisdictions, correspondent banking, wire transfers exceeding EUR 1000."
CH_AML_4,DOC_AML_4,"Suspicious transaction reporting (STR): financial intelligence units (FIUs), cooperation with law enforcement, record retention for five years post-relationship, staff training requirements."
CH_AML_LR_1,DOC_AML_LR_1,"AML controls for prime brokerage and leverage facilities: client onboarding procedures, monitoring of margined transactions, reporting obligations for large exposures and concentrated positions."
CH_SEC_1,DOC_SEC_1,"Title — Securitisation: significant risk transfer (SRT) tests; STS criteria; tranche maturity and risk weights; internal assessment approach where applicable."
CH_SEC_2,DOC_SEC_2,"Article 242 — Simple, transparent, and standardised (STS) securitisations: true sale or assignment, no synthetic structures, homogeneous pool, granular exposures, standardised documentation, data templates."
CH_SEC_3,DOC_SEC_3,"Part Three Title II Chapter 5 — Securitisation framework: hierarchy of approaches (SEC-IRBA, SEC-ERBA, SEC-SA), 1250% risk weight floor for resecuritisations, deduction treatment for retained tranches."
CH_SEC_4,DOC_SEC_4,"SRT assessment criteria: credit risk materially transferred to third parties, legal certainty of transfer, ongoing monitoring, capital relief proportionate to risk transferred."
CH_LR_1,DOC_LR_1,"Part Seven — Leverage Ratio: exposure measure includes derivatives replacement cost and potential future exposure; off-balance-sheet items subject to credit conversion factors; public disclosure requirements."
CH_LR_2,DOC_LR_2,"Article 429 — Calculation of total exposure measure: on-balance sheet items excluding derivatives and securities financing transactions (SFTs); derivative exposures via mark-to-market method or original exposure method."
CH_LR_3,DOC_LR_3,"Basel III leverage ratio minimum 3%: Tier 1 capital divided by total exposure measure. Additional buffer for G-SIBs. Quarterly reporting template C 47.00."
CH_LR_4,DOC_LR_4,"Treatment of off-balance-sheet items in leverage ratio: full notional for credit commitments with 100% CCF; lower CCFs for unconditionally cancellable commitments; trade finance at 20% CCF."
CH_NOISE_1,DOC_GOV_1,"Corporate governance arrangements: management body composition, fit and proper assessments under EBA Guidelines, internal governance frameworks, remuneration policies aligned with risk appetite."
CH_NOISE_2,DOC_OP_1,"Operational resilience and business continuity: ICT risk management, third-party outsourcing due diligence, incident reporting under DORA (Digital Operational Resilience Act), recovery time objectives."
